id_start,id_end
444,888
1733,1734
2100,7123
2149,2141
2892,2715
5788,4934
5812,5820
6741,6740
3337,0
47,0
973,0
663,0
482,0
47,1
1137,2
1056,3
6465,7
6669,15
3106,28
4678,28
9,28
5880,28
5269,28
75,28
538,28
447,28
0,28
4580,28
88,28
2234,28
7,28
39,28
45,28
3309,28
34,28
3322,28
4529,28
71,28
41,28
466,28
6126,28
2057,28
49,28
2660,28
4586,28
6465,29
1334,30
4832,32
4469,32
4477,33
4413,34
5594,34
4469,34
47,45
46,45
47,46
47,49
3255,71
987,71
3251,72
3306,73
2024,73
2024,75
14,76
2337,78
83,84
3916,88
4298,88
3758,90
3247,103
25,112
23,112
455,131
707,157
1813,168
505,178
1161,244
67,267
47,287
371,307
4898,318
213,362
3337,400
6465,447
694,447
987,447
4598,447
1150,447
907,447
878,447
957,447
385,447
776,447
3916,447
674,447
303,447
1044,447
1145,447
796,447
812,447
894,447
637,447
903,447
666,455
758,455
465,464
464,465
47,466
903,474
541,480
3128,480
3841,481
3337,482
933,488
5412,494
1012,508
584,585
796,648
3916,688
399,688
545,754
3991,801
4256,815
541,852
1047,868
888,868
510,888
317,892
385,894
897,896
1044,908
3337,947
311,987
1025,1007
1044,1007
3359,1007
940,1012
907,1056
3481,1082
1642,1084
1125,1084
1100,1084
1126,1084
1100,1086
1100,1092
4759,1096
1117,1100
1100,1102
1100,1103
1100,1107
1100,1111
1642,1112
1100,1112
1117,1116
1100,1116
1118,1116
1100,1120
1117,1123
409,1123
1089,1123
88,1137
7335,1137
1454,1137
320,1137
1169,1137
3916,1137
1590,1137
1458,1137
4546,1139
5377,1139
5876,1139
5855,1139
5190,1139
3916,1139
1140,1139
6575,1139
4778,1139
1170,1139
4911,1139
314,1139
1194,1139
4930,1139
4674,1139
1143,1139
4937,1139
4790,1139
5533,1139
1141,1139
5157,1139
5190,1140
2314,1141
6575,1141
3018,1141
3019,1141
5269,1143
1431,1144
6823,1144
3916,1144
3569,1144
3568,1144
987,1145
447,1145
1150,1145
896,1145
3916,1145
904,1145
1147,1145
1044,1145
68,1145
463,1145
1431,1145
1175,1145
1146,1145
447,1146
1044,1146
894,1146
612,1146
447,1148
797,1148
1044,1148
1138,1150
4043,1152
88,1152
4177,1152
4005,1152
6465,1153
251,1153
808,1153
1181,1153
1044,1153
6970,1153
1431,1153
1146,1153
1458,1153
1648,1161
1147,1162
1044,1164
1047,1164
1547,1165
1476,1165
1089,1166
1138,1167
3916,1170
1458,1170
794,1171
1273,1175
6148,1175
2860,1175
6447,1175
3265,1175
575,1175
6575,1175
2184,1175
3018,1175
4111,1175
3019,1175
1431,1175
1047,1175
1044,1177
6063,1179
3461,1179
2515,1179
3443,1179
1875,1180
1590,1180
1132,1180
6476,1181
88,1182
3916,1182
1189,1186
1453,1186
88,1186
1454,1186
4266,1186
808,1186
496,1186
2105,1186
1153,1186
1590,1186
6652,1186
4168,1186
6972,1186
7301,1186
637,1186
3614,1186
1307,1189
1148,1189
4195,1190
88,1193
1888,1193
1140,1193
3345,1193
6272,1193
1172,1193
5227,1193
1138,1193
1198,1193
1178,1193
1458,1193
3916,1194
1195,1194
1181,1197
1273,1208
1710,1228
1567,1256
3366,1279
3753,1293
3678,1336
6939,1347
3289,1406
1431,1430
1430,1431
3348,1433
1454,1453
7049,1460
3489,1476
3106,1476
2101,1476
3609,1476
1489,1476
3607,1476
3219,1476
1243,1484
3678,1514
1851,1522
2018,1542
4251,1546
1273,1563
1485,1578
1859,1593
4148,1615
6669,1646
4206,1652
6919,1659
1734,1733
1771,1770
1770,1771
1803,1802
1802,1803
4995,1812
3445,1812
1615,1812
1339,1812
1063,1816
1273,1854
1853,1854
6779,1862
7116,1862
1290,1862
1431,1884
6864,1929
1273,1958
7344,1963
5496,1974
4728,1974
4727,1974
2429,1974
3529,1974
5126,1974
1964,1974
2790,1974
1911,1974
5574,1974
2005,1974
1316,2001
993,2001
1931,2001
3270,2056
2052,2057
2018,2064
6968,2068
1225,2076
7042,2095
7055,2097
7263,2108
4272,2133
1610,2148
1414,2148
1273,2149
2752,2152
1783,2161
1382,2161
2005,2163
7119,2165
7044,2165
1279,2165
107,2184
6765,2224
3186,2228
2309,2230
3086,2234
2832,2254
2649,2255
2362,2275
2688,2286
2987,2288
3089,2303
2360,2305
2230,2309
2360,2318
2598,2332
2305,2360
2512,2360
3039,2366
2362,2368
2598,2375
6307,2394
4679,2404
3215,2415
2336,2417
3215,2422
2920,2424
3327,2431
5443,2436
2360,2437
3166,2443
2366,2443
2360,2451
3172,2465
2980,2465
2598,2465
2337,2465
1179,2465
2753,2465
6253,2465
5954,2465
2598,2476
2598,2482
2688,2482
3181,2494
2958,2506
3091,2508
790,2516
2832,2522
2360,2546
2558,2557
2562,2561
2561,2562
2360,2568
2924,2574
2525,2598
3010,2598
3180,2598
2240,2600
5045,2600
2234,2617
5738,2620
2715,2621
2255,2649
3089,2654
4469,2660
2598,2665
2387,2688
2598,2688
3091,2688
2664,2688
2690,2689
2689,2690
2690,2691
3186,2693
2598,2713
3153,2717
3109,2720
2360,2720
2745,2746
2832,2748
2598,2749
2690,2783
3965,2789
6781,2792
4469,2792
2598,2797
2388,2797
2598,2806
4012,2813
3089,2826
6039,2828
2598,2843
2598,2844
2318,2844
4953,2846
3215,2850
3172,2867
2598,2867
